primary_sentence,secondary_sentence,label
Procedimiento para una beca al mérito cultural,Necesito detalles sobre los recargos por retraso en los pagos,0
Procedimiento para una beca al mérito cultural,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
Procedimiento para una beca al mérito cultural,Soluciones para dificultades económicas en el pago de cuotas,0
Procedimiento para una beca al mérito cultural,¿Cómo actuar si no pago la cuota a tiempo?,0
Procedimiento para una beca al mérito cultural,Facturación y Pagos en el Sistema SAEw,0
Procedimiento para una beca al mérito cultural,Información sobre la facturación en el sistema SAEw,0
Procedimiento para una beca al mérito cultural,Detalles sobre el proceso de facturación en el sistema SAEw,0
Procedimiento para una beca al mérito cultural,Calendario Académico e Inicio de Clases,0
Procedimiento para una beca al mérito cultural,Inicio de clases para el nuevo periodo académico,0
Procedimiento para una beca al mérito cultural,Cronograma actividades académicas,0
Procedimiento para una beca al mérito cultural,Aportes Voluntarios,0
Procedimiento para una beca al mérito cultural,¿Cómo hacer aportes voluntarios?,0
Procedimiento para una beca al mérito cultural,Aportes a la FEPON,0
Procedimiento para una beca al mérito cultural,Pérdida de la Gratuidad,0
Procedimiento para una beca al mérito cultural,Pérdida de gratuidad por cambio de carrera,0
Procedimiento para una beca al mérito cultural,¿Bajo qué circunstancias se puede perder la gratuidad?,0
Procedimiento para una beca al mérito cultural,"Retiro Voluntario de una, varias o todas las Asignaturas",0
Procedimiento para una beca al mérito cultural,Formulario para el retiro voluntario de asignaturas,0
Procedimiento para una beca al mérito cultural,Proceso retirar todas las asignaturas,0
Procedimiento para una beca al mérito cultural,Retiro de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Procedimiento para una beca al mérito cultural,¿Cómo retirar asignaturas por caso fortuito?,0
Procedimiento para una beca al mérito cultural,¿Solicitar retiro por fuerza mayor durante el semestre?,0
Procedimiento para una beca al mérito cultural,Retiro Extemporáneo de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Procedimiento para una beca al mérito cultural,Formulario para retiro extemporáneo en la EPN,0
Procedimiento para una beca al mérito cultural,Plazo para el retiro extemporáneo de asignaturas,0
Procedimiento para una beca al mérito cultural,Concesión de Tercera Matrícula para Tercer Nivel,0
Procedimiento para una beca al mérito cultural,Condiciones para obtener una tercera matrícula,0
Procedimiento para una beca al mérito cultural,Formulario y requisitos tercera matrícula,0
Procedimiento para una beca al mérito cultural,Asignaturas que No Otorgan Créditos,0
Procedimiento para una beca al mérito cultural,¿Cuáles son asignaturas sin créditos?,0
Procedimiento para una beca al mérito cultural,¿Deportes y Clubes otorgan créditos?,0
Procedimiento para una beca al mérito cultural,Prácticas Preprofesionales,0
Procedimiento para una beca al mérito cultural,¿Cómo son prácticas preprofesionales?,0
Procedimiento para una beca al mérito cultural,¿Cómo aprobar prácticas preprofesionales?,0
Procedimiento para una beca al mérito cultural,Inscripciones en Otras Unidades Académicas,0
Procedimiento para una beca al mérito cultural,¿Cómo inscribirme en asignaturas de otras unidades?,0
Procedimiento para una beca al mérito cultural,Restricciones para inscripción en otras unidades,0
Procedimiento para una beca al mérito cultural,Mallas Curriculares,0
Procedimiento para una beca al mérito cultural,¿Dónde ver mallas curriculares de mi carrera?,0
Procedimiento para una beca al mérito cultural,¿Cómo consultar mallas curriculares?,0
Procedimiento para una beca al mérito cultural,Honestidad Académica y Código de Ética,0
Procedimiento para una beca al mérito cultural,Reglamento de disciplina y sanciones,0
Procedimiento para una beca al mérito cultural,¿Puedo solicitar clarificaciones sobre código de ética?,0
Procedimiento para una beca al mérito cultural,Restricciones para Matriculación,0
Procedimiento para una beca al mérito cultural,Cómo solucionar restricciones de matriculación,0
Procedimiento para una beca al mérito cultural,¿Excepciones a restricciones de matriculación?,0
Procedimiento para una beca al mérito cultural,Suficiencia en Inglés,0
Procedimiento para una beca al mérito cultural,¿Cómo obtener la suficiencia en inglés?,0
Procedimiento para una beca al mérito cultural,Proceso de inscripción en el inglés para niveles superiores,0
Procedimiento para una beca al mérito cultural,Limitaciones por Suficiencia de Inglés,0
Procedimiento para una beca al mérito cultural,Suficiencia de inglés y límites de créditos,0
Procedimiento para una beca al mérito cultural,¿Cómo afecta la suficiencia de inglés a la cantidad de créditos permitidos?,0
Procedimiento para una beca al mérito cultural,Hola,0
Procedimiento para una beca al mérito cultural,Hola pantera,0
Procedimiento para una beca al mérito cultural,Necesito ayuda,0
Procedimiento para una beca al mérito cultural,Gracias,0
Procedimiento para una beca al mérito cultural,Muchas gracias,0
Procedimiento para una beca al mérito cultural,Te agradezco mucho,0
Becas por Excelencia Académica,Becas por Vulnerabilidad por Situación Económica,0
Becas por Excelencia Académica,¿Puedo pedir una beca por vulnerabilidad económica?,0
Becas por Excelencia Académica,Procedimiento para una beca por vulnerabilidad económica,0
Becas por Excelencia Académica,Actualización de Datos Socioeconómicos,0
Becas por Excelencia Académica,Quiero actualizar mis datos socioeconómicos,0
Becas por Excelencia Académica,Mi información socioeconómica es incorrecta,0
Becas por Excelencia Académica,Proceso de Reingreso a Pregrado,0
Becas por Excelencia Académica,Necesito regresar a mi carrera,0
Becas por Excelencia Académica,¿Qué debo hacer para regresar a mi carrera?,0
Becas por Excelencia Académica,Datos Socioeconómicos para el Reingreso a Pregrado,0
Becas por Excelencia Académica,¿Qué requisitos necesito para regresar a mi carrera?,0
Becas por Excelencia Académica,¿Cómo se si puedo volver a mi carrera?,0
Becas por Excelencia Académica,Cómo Seleccionar el Número de Partes para el Pago,0
Becas por Excelencia Académica,Quiero saber cómo dividir el pago de la matrícula,0
Becas por Excelencia Académica,¿Cómo elijo las cuotas para la matrícula?,0
Becas por Excelencia Académica,Fechas de Pago y Consecuencias de Retrasos,0
Becas por Excelencia Académica,Información sobre fechas de pago y penalizaciones por retraso,0
Becas por Excelencia Académica,¿Qué sucede si no cumplo con la fecha de pago de una cuota?,0
Becas por Excelencia Académica,Política de Recargos por Retraso en el Pago de Cuotas,0
Becas por Excelencia Académica,Información sobre recargos por retraso en pagos,0
Becas por Excelencia Académica,Necesito detalles sobre los recargos por retraso en los pagos,0
Becas por Excelencia Académica,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
Becas por Excelencia Académica,Soluciones para dificultades económicas en el pago de cuotas,0
Becas por Excelencia Académica,¿Cómo actuar si no pago la cuota a tiempo?,0
Becas por Excelencia Académica,Facturación y Pagos en el Sistema SAEw,0
Becas por Excelencia Académica,Información sobre la facturación en el sistema SAEw,0
Becas por Excelencia Académica,Detalles sobre el proceso de facturación en el sistema SAEw,0
Becas por Excelencia Académica,Calendario Académico e Inicio de Clases,0
Becas por Excelencia Académica,Inicio de clases para el nuevo periodo académico,0
Becas por Excelencia Académica,Cronograma actividades académicas,0
Becas por Excelencia Académica,Aportes Voluntarios,0
Becas por Excelencia Académica,¿Cómo hacer aportes voluntarios?,0
Becas por Excelencia Académica,Aportes a la FEPON,0
Becas por Excelencia Académica,Pérdida de la Gratuidad,0
Becas por Excelencia Académica,Pérdida de gratuidad por cambio de carrera,0
Becas por Excelencia Académica,¿Bajo qué circunstancias se puede perder la gratuidad?,0
Becas por Excelencia Académica,"Retiro Voluntario de una, varias o todas las Asignaturas",0
Becas por Excelencia Académica,Formulario para el retiro voluntario de asignaturas,0
Becas por Excelencia Académica,Proceso retirar todas las asignaturas,0
Becas por Excelencia Académica,Retiro de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Becas por Excelencia Académica,¿Cómo retirar asignaturas por caso fortuito?,0
Becas por Excelencia Académica,¿Solicitar retiro por fuerza mayor durante el semestre?,0
Becas por Excelencia Académica,Retiro Extemporáneo de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Becas por Excelencia Académica,Formulario para retiro extemporáneo en la EPN,0
Becas por Excelencia Académica,Plazo para el retiro extemporáneo de asignaturas,0
Becas por Excelencia Académica,Concesión de Tercera Matrícula para Tercer Nivel,0
Becas por Excelencia Académica,Condiciones para obtener una tercera matrícula,0
Becas por Excelencia Académica,Formulario y requisitos tercera matrícula,0
Becas por Excelencia Académica,Asignaturas que No Otorgan Créditos,0
Becas por Excelencia Académica,¿Cuáles son asignaturas sin créditos?,0
Becas por Excelencia Académica,¿Deportes y Clubes otorgan créditos?,0
Becas por Excelencia Académica,Prácticas Preprofesionales,0
Becas por Excelencia Académica,¿Cómo son prácticas preprofesionales?,0
Becas por Excelencia Académica,¿Cómo aprobar prácticas preprofesionales?,0
Becas por Excelencia Académica,Inscripciones en Otras Unidades Académicas,0
Becas por Excelencia Académica,¿Cómo inscribirme en asignaturas de otras unidades?,0
Becas por Excelencia Académica,Restricciones para inscripción en otras unidades,0
Becas por Excelencia Académica,Mallas Curriculares,0
Becas por Excelencia Académica,¿Dónde ver mallas curriculares de mi carrera?,0
Becas por Excelencia Académica,¿Cómo consultar mallas curriculares?,0
Becas por Excelencia Académica,Honestidad Académica y Código de Ética,0
Becas por Excelencia Académica,Reglamento de disciplina y sanciones,0
Becas por Excelencia Académica,¿Puedo solicitar clarificaciones sobre código de ética?,0
Becas por Excelencia Académica,Restricciones para Matriculación,0
Becas por Excelencia Académica,Cómo solucionar restricciones de matriculación,0
Becas por Excelencia Académica,¿Excepciones a restricciones de matriculación?,0
Becas por Excelencia Académica,Suficiencia en Inglés,0
Becas por Excelencia Académica,¿Cómo obtener la suficiencia en inglés?,0
Becas por Excelencia Académica,Proceso de inscripción en el inglés para niveles superiores,0
Becas por Excelencia Académica,Limitaciones por Suficiencia de Inglés,0
Becas por Excelencia Académica,Suficiencia de inglés y límites de créditos,0
Becas por Excelencia Académica,¿Cómo afecta la suficiencia de inglés a la cantidad de créditos permitidos?,0
Becas por Excelencia Académica,Hola,0
Becas por Excelencia Académica,Hola pantera,0
Becas por Excelencia Académica,Necesito ayuda,0
Becas por Excelencia Académica,Gracias,0
Becas por Excelencia Académica,Muchas gracias,0
Becas por Excelencia Académica,Te agradezco mucho,0
¿Puedo pedir una beca por excelencia académica?,Becas por Vulnerabilidad por Situación Económica,0
¿Puedo pedir una beca por excelencia académica?,¿Puedo pedir una beca por vulnerabilidad económica?,0
¿Puedo pedir una beca por excelencia académica?,Procedimiento para una beca por vulnerabilidad económica,0
¿Puedo pedir una beca por excelencia académica?,Actualización de Datos Socioeconómicos,0
¿Puedo pedir una beca por excelencia académica?,Quiero actualizar mis datos socioeconómicos,0
¿Puedo pedir una beca por excelencia académica?,Mi información socioeconómica es incorrecta,0
¿Puedo pedir una beca por excelencia académica?,Proceso de Reingreso a Pregrado,0
¿Puedo pedir una beca por excelencia académica?,Necesito regresar a mi carrera,0
¿Puedo pedir una beca por excelencia académica?,¿Qué debo hacer para regresar a mi carrera?,0
¿Puedo pedir una beca por excelencia académica?,Datos Socioeconómicos para el Reingreso a Pregrado,0
¿Puedo pedir una beca por excelencia académica?,¿Qué requisitos necesito para regresar a mi carrera?,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo se si puedo volver a mi carrera?,0
¿Puedo pedir una beca por excelencia académica?,Cómo Seleccionar el Número de Partes para el Pago,0
¿Puedo pedir una beca por excelencia académica?,Quiero saber cómo dividir el pago de la matrícula,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo elijo las cuotas para la matrícula?,0
¿Puedo pedir una beca por excelencia académica?,Fechas de Pago y Consecuencias de Retrasos,0
¿Puedo pedir una beca por excelencia académica?,Información sobre fechas de pago y penalizaciones por retraso,0
¿Puedo pedir una beca por excelencia académica?,¿Qué sucede si no cumplo con la fecha de pago de una cuota?,0
¿Puedo pedir una beca por excelencia académica?,Política de Recargos por Retraso en el Pago de Cuotas,0
¿Puedo pedir una beca por excelencia académica?,Información sobre recargos por retraso en pagos,0
¿Puedo pedir una beca por excelencia académica?,Necesito detalles sobre los recargos por retraso en los pagos,0
¿Puedo pedir una beca por excelencia académica?,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
¿Puedo pedir una beca por excelencia académica?,Soluciones para dificultades económicas en el pago de cuotas,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo actuar si no pago la cuota a tiempo?,0
¿Puedo pedir una beca por excelencia académica?,Facturación y Pagos en el Sistema SAEw,0
¿Puedo pedir una beca por excelencia académica?,Información sobre la facturación en el sistema SAEw,0
¿Puedo pedir una beca por excelencia académica?,Detalles sobre el proceso de facturación en el sistema SAEw,0
¿Puedo pedir una beca por excelencia académica?,Calendario Académico e Inicio de Clases,0
¿Puedo pedir una beca por excelencia académica?,Inicio de clases para el nuevo periodo académico,0
¿Puedo pedir una beca por excelencia académica?,Cronograma actividades académicas,0
¿Puedo pedir una beca por excelencia académica?,Aportes Voluntarios,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo hacer aportes voluntarios?,0
¿Puedo pedir una beca por excelencia académica?,Aportes a la FEPON,0
¿Puedo pedir una beca por excelencia académica?,Pérdida de la Gratuidad,0
¿Puedo pedir una beca por excelencia académica?,Pérdida de gratuidad por cambio de carrera,0
¿Puedo pedir una beca por excelencia académica?,¿Bajo qué circunstancias se puede perder la gratuidad?,0
¿Puedo pedir una beca por excelencia académica?,"Retiro Voluntario de una, varias o todas las Asignaturas",0
¿Puedo pedir una beca por excelencia académica?,Formulario para el retiro voluntario de asignaturas,0
¿Puedo pedir una beca por excelencia académica?,Proceso retirar todas las asignaturas,0
¿Puedo pedir una beca por excelencia académica?,Retiro de Asignaturas por Caso Fortuito o Fuerza Mayor,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo retirar asignaturas por caso fortuito?,0
¿Puedo pedir una beca por excelencia académica?,¿Solicitar retiro por fuerza mayor durante el semestre?,0
¿Puedo pedir una beca por excelencia académica?,Retiro Extemporáneo de Asignaturas por Caso Fortuito o Fuerza Mayor,0
¿Puedo pedir una beca por excelencia académica?,Formulario para retiro extemporáneo en la EPN,0
¿Puedo pedir una beca por excelencia académica?,Plazo para el retiro extemporáneo de asignaturas,0
¿Puedo pedir una beca por excelencia académica?,Concesión de Tercera Matrícula para Tercer Nivel,0
¿Puedo pedir una beca por excelencia académica?,Condiciones para obtener una tercera matrícula,0
¿Puedo pedir una beca por excelencia académica?,Formulario y requisitos tercera matrícula,0
¿Puedo pedir una beca por excelencia académica?,Asignaturas que No Otorgan Créditos,0
¿Puedo pedir una beca por excelencia académica?,¿Cuáles son asignaturas sin créditos?,0
¿Puedo pedir una beca por excelencia académica?,¿Deportes y Clubes otorgan créditos?,0
¿Puedo pedir una beca por excelencia académica?,Prácticas Preprofesionales,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo son prácticas preprofesionales?,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo aprobar prácticas preprofesionales?,0
¿Puedo pedir una beca por excelencia académica?,Inscripciones en Otras Unidades Académicas,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo inscribirme en asignaturas de otras unidades?,0
¿Puedo pedir una beca por excelencia académica?,Restricciones para inscripción en otras unidades,0
¿Puedo pedir una beca por excelencia académica?,Mallas Curriculares,0
¿Puedo pedir una beca por excelencia académica?,¿Dónde ver mallas curriculares de mi carrera?,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo consultar mallas curriculares?,0
¿Puedo pedir una beca por excelencia académica?,Honestidad Académica y Código de Ética,0
¿Puedo pedir una beca por excelencia académica?,Reglamento de disciplina y sanciones,0
¿Puedo pedir una beca por excelencia académica?,¿Puedo solicitar clarificaciones sobre código de ética?,0
¿Puedo pedir una beca por excelencia académica?,Restricciones para Matriculación,0
¿Puedo pedir una beca por excelencia académica?,Cómo solucionar restricciones de matriculación,0
¿Puedo pedir una beca por excelencia académica?,¿Excepciones a restricciones de matriculación?,0
¿Puedo pedir una beca por excelencia académica?,Suficiencia en Inglés,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo obtener la suficiencia en inglés?,0
¿Puedo pedir una beca por excelencia académica?,Proceso de inscripción en el inglés para niveles superiores,0
¿Puedo pedir una beca por excelencia académica?,Limitaciones por Suficiencia de Inglés,0
¿Puedo pedir una beca por excelencia académica?,Suficiencia de inglés y límites de créditos,0
¿Puedo pedir una beca por excelencia académica?,¿Cómo afecta la suficiencia de inglés a la cantidad de créditos permitidos?,0
¿Puedo pedir una beca por excelencia académica?,Hola,0
¿Puedo pedir una beca por excelencia académica?,Hola pantera,0
¿Puedo pedir una beca por excelencia académica?,Necesito ayuda,0
¿Puedo pedir una beca por excelencia académica?,Gracias,0
¿Puedo pedir una beca por excelencia académica?,Muchas gracias,0
¿Puedo pedir una beca por excelencia académica?,Te agradezco mucho,0
Procedimiento para una beca por excelencia académica,Becas por Vulnerabilidad por Situación Económica,0
Procedimiento para una beca por excelencia académica,¿Puedo pedir una beca por vulnerabilidad económica?,0
Procedimiento para una beca por excelencia académica,Procedimiento para una beca por vulnerabilidad económica,0
Procedimiento para una beca por excelencia académica,Actualización de Datos Socioeconómicos,0
Procedimiento para una beca por excelencia académica,Quiero actualizar mis datos socioeconómicos,0
Procedimiento para una beca por excelencia académica,Mi información socioeconómica es incorrecta,0
Procedimiento para una beca por excelencia académica,Proceso de Reingreso a Pregrado,0
Procedimiento para una beca por excelencia académica,Necesito regresar a mi carrera,0
Procedimiento para una beca por excelencia académica,¿Qué debo hacer para regresar a mi carrera?,0
Procedimiento para una beca por excelencia académica,Datos Socioeconómicos para el Reingreso a Pregrado,0
Procedimiento para una beca por excelencia académica,¿Qué requisitos necesito para regresar a mi carrera?,0
Procedimiento para una beca por excelencia académica,¿Cómo se si puedo volver a mi carrera?,0
Procedimiento para una beca por excelencia académica,Cómo Seleccionar el Número de Partes para el Pago,0
Procedimiento para una beca por excelencia académica,Quiero saber cómo dividir el pago de la matrícula,0
Procedimiento para una beca por excelencia académica,¿Cómo elijo las cuotas para la matrícula?,0
Procedimiento para una beca por excelencia académica,Fechas de Pago y Consecuencias de Retrasos,0
Procedimiento para una beca por excelencia académica,Información sobre fechas de pago y penalizaciones por retraso,0
Procedimiento para una beca por excelencia académica,¿Qué sucede si no cumplo con la fecha de pago de una cuota?,0
Procedimiento para una beca por excelencia académica,Política de Recargos por Retraso en el Pago de Cuotas,0
Procedimiento para una beca por excelencia académica,Información sobre recargos por retraso en pagos,0
Procedimiento para una beca por excelencia académica,Necesito detalles sobre los recargos por retraso en los pagos,0
Procedimiento para una beca por excelencia académica,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
Procedimiento para una beca por excelencia académica,Soluciones para dificultades económicas en el pago de cuotas,0
Procedimiento para una beca por excelencia académica,¿Cómo actuar si no pago la cuota a tiempo?,0
Procedimiento para una beca por excelencia académica,Facturación y Pagos en el Sistema SAEw,0
Procedimiento para una beca por excelencia académica,Información sobre la facturación en el sistema SAEw,0
Procedimiento para una beca por excelencia académica,Detalles sobre el proceso de facturación en el sistema SAEw,0
Procedimiento para una beca por excelencia académica,Calendario Académico e Inicio de Clases,0
Procedimiento para una beca por excelencia académica,Inicio de clases para el nuevo periodo académico,0
Procedimiento para una beca por excelencia académica,Cronograma actividades académicas,0
Procedimiento para una beca por excelencia académica,Aportes Voluntarios,0
Procedimiento para una beca por excelencia académica,¿Cómo hacer aportes voluntarios?,0
Procedimiento para una beca por excelencia académica,Aportes a la FEPON,0
Procedimiento para una beca por excelencia académica,Pérdida de la Gratuidad,0
Procedimiento para una beca por excelencia académica,Pérdida de gratuidad por cambio de carrera,0
Procedimiento para una beca por excelencia académica,¿Bajo qué circunstancias se puede perder la gratuidad?,0
Procedimiento para una beca por excelencia académica,"Retiro Voluntario de una, varias o todas las Asignaturas",0
Procedimiento para una beca por excelencia académica,Formulario para el retiro voluntario de asignaturas,0
Procedimiento para una beca por excelencia académica,Proceso retirar todas las asignaturas,0
Procedimiento para una beca por excelencia académica,Retiro de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Procedimiento para una beca por excelencia académica,¿Cómo retirar asignaturas por caso fortuito?,0
Procedimiento para una beca por excelencia académica,¿Solicitar retiro por fuerza mayor durante el semestre?,0
Procedimiento para una beca por excelencia académica,Retiro Extemporáneo de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Procedimiento para una beca por excelencia académica,Formulario para retiro extemporáneo en la EPN,0
Procedimiento para una beca por excelencia académica,Plazo para el retiro extemporáneo de asignaturas,0
Procedimiento para una beca por excelencia académica,Concesión de Tercera Matrícula para Tercer Nivel,0
Procedimiento para una beca por excelencia académica,Condiciones para obtener una tercera matrícula,0
Procedimiento para una beca por excelencia académica,Formulario y requisitos tercera matrícula,0
Procedimiento para una beca por excelencia académica,Asignaturas que No Otorgan Créditos,0
Procedimiento para una beca por excelencia académica,¿Cuáles son asignaturas sin créditos?,0
Procedimiento para una beca por excelencia académica,¿Deportes y Clubes otorgan créditos?,0
Procedimiento para una beca por excelencia académica,Prácticas Preprofesionales,0
Procedimiento para una beca por excelencia académica,¿Cómo son prácticas preprofesionales?,0
Procedimiento para una beca por excelencia académica,¿Cómo aprobar prácticas preprofesionales?,0
Procedimiento para una beca por excelencia académica,Inscripciones en Otras Unidades Académicas,0
Procedimiento para una beca por excelencia académica,¿Cómo inscribirme en asignaturas de otras unidades?,0
Procedimiento para una beca por excelencia académica,Restricciones para inscripción en otras unidades,0
Procedimiento para una beca por excelencia académica,Mallas Curriculares,0
Procedimiento para una beca por excelencia académica,¿Dónde ver mallas curriculares de mi carrera?,0
Procedimiento para una beca por excelencia académica,¿Cómo consultar mallas curriculares?,0
Procedimiento para una beca por excelencia académica,Honestidad Académica y Código de Ética,0
Procedimiento para una beca por excelencia académica,Reglamento de disciplina y sanciones,0
Procedimiento para una beca por excelencia académica,¿Puedo solicitar clarificaciones sobre código de ética?,0
Procedimiento para una beca por excelencia académica,Restricciones para Matriculación,0
Procedimiento para una beca por excelencia académica,Cómo solucionar restricciones de matriculación,0
Procedimiento para una beca por excelencia académica,¿Excepciones a restricciones de matriculación?,0
Procedimiento para una beca por excelencia académica,Suficiencia en Inglés,0
Procedimiento para una beca por excelencia académica,¿Cómo obtener la suficiencia en inglés?,0
Procedimiento para una beca por excelencia académica,Proceso de inscripción en el inglés para niveles superiores,0
Procedimiento para una beca por excelencia académica,Limitaciones por Suficiencia de Inglés,0
Procedimiento para una beca por excelencia académica,Suficiencia de inglés y límites de créditos,0
Procedimiento para una beca por excelencia académica,¿Cómo afecta la suficiencia de inglés a la cantidad de créditos permitidos?,0
Procedimiento para una beca por excelencia académica,Hola,0
Procedimiento para una beca por excelencia académica,Hola pantera,0
Procedimiento para una beca por excelencia académica,Necesito ayuda,0
Procedimiento para una beca por excelencia académica,Gracias,0
Procedimiento para una beca por excelencia académica,Muchas gracias,0
Procedimiento para una beca por excelencia académica,Te agradezco mucho,0
Becas por Vulnerabilidad por Situación Económica,Actualización de Datos Socioeconómicos,0
Becas por Vulnerabilidad por Situación Económica,Quiero actualizar mis datos socioeconómicos,0
Becas por Vulnerabilidad por Situación Económica,Mi información socioeconómica es incorrecta,0
Becas por Vulnerabilidad por Situación Económica,Proceso de Reingreso a Pregrado,0
Becas por Vulnerabilidad por Situación Económica,Necesito regresar a mi carrera,0
Becas por Vulnerabilidad por Situación Económica,¿Qué debo hacer para regresar a mi carrera?,0
Becas por Vulnerabilidad por Situación Económica,Datos Socioeconómicos para el Reingreso a Pregrado,0
Becas por Vulnerabilidad por Situación Económica,¿Qué requisitos necesito para regresar a mi carrera?,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo se si puedo volver a mi carrera?,0
Becas por Vulnerabilidad por Situación Económica,Cómo Seleccionar el Número de Partes para el Pago,0
Becas por Vulnerabilidad por Situación Económica,Quiero saber cómo dividir el pago de la matrícula,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo elijo las cuotas para la matrícula?,0
Becas por Vulnerabilidad por Situación Económica,Fechas de Pago y Consecuencias de Retrasos,0
Becas por Vulnerabilidad por Situación Económica,Información sobre fechas de pago y penalizaciones por retraso,0
Becas por Vulnerabilidad por Situación Económica,¿Qué sucede si no cumplo con la fecha de pago de una cuota?,0
Becas por Vulnerabilidad por Situación Económica,Política de Recargos por Retraso en el Pago de Cuotas,0
Becas por Vulnerabilidad por Situación Económica,Información sobre recargos por retraso en pagos,0
Becas por Vulnerabilidad por Situación Económica,Necesito detalles sobre los recargos por retraso en los pagos,0
Becas por Vulnerabilidad por Situación Económica,Qué Hacer en Caso de Dificultades Económicas para Pagar Cuotas,0
Becas por Vulnerabilidad por Situación Económica,Soluciones para dificultades económicas en el pago de cuotas,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo actuar si no pago la cuota a tiempo?,0
Becas por Vulnerabilidad por Situación Económica,Facturación y Pagos en el Sistema SAEw,0
Becas por Vulnerabilidad por Situación Económica,Información sobre la facturación en el sistema SAEw,0
Becas por Vulnerabilidad por Situación Económica,Detalles sobre el proceso de facturación en el sistema SAEw,0
Becas por Vulnerabilidad por Situación Económica,Calendario Académico e Inicio de Clases,0
Becas por Vulnerabilidad por Situación Económica,Inicio de clases para el nuevo periodo académico,0
Becas por Vulnerabilidad por Situación Económica,Cronograma actividades académicas,0
Becas por Vulnerabilidad por Situación Económica,Aportes Voluntarios,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo hacer aportes voluntarios?,0
Becas por Vulnerabilidad por Situación Económica,Aportes a la FEPON,0
Becas por Vulnerabilidad por Situación Económica,Pérdida de la Gratuidad,0
Becas por Vulnerabilidad por Situación Económica,Pérdida de gratuidad por cambio de carrera,0
Becas por Vulnerabilidad por Situación Económica,¿Bajo qué circunstancias se puede perder la gratuidad?,0
Becas por Vulnerabilidad por Situación Económica,"Retiro Voluntario de una, varias o todas las Asignaturas",0
Becas por Vulnerabilidad por Situación Económica,Formulario para el retiro voluntario de asignaturas,0
Becas por Vulnerabilidad por Situación Económica,Proceso retirar todas las asignaturas,0
Becas por Vulnerabilidad por Situación Económica,Retiro de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo retirar asignaturas por caso fortuito?,0
Becas por Vulnerabilidad por Situación Económica,¿Solicitar retiro por fuerza mayor durante el semestre?,0
Becas por Vulnerabilidad por Situación Económica,Retiro Extemporáneo de Asignaturas por Caso Fortuito o Fuerza Mayor,0
Becas por Vulnerabilidad por Situación Económica,Formulario para retiro extemporáneo en la EPN,0
Becas por Vulnerabilidad por Situación Económica,Plazo para el retiro extemporáneo de asignaturas,0
Becas por Vulnerabilidad por Situación Económica,Concesión de Tercera Matrícula para Tercer Nivel,0
Becas por Vulnerabilidad por Situación Económica,Condiciones para obtener una tercera matrícula,0
Becas por Vulnerabilidad por Situación Económica,Formulario y requisitos tercera matrícula,0
Becas por Vulnerabilidad por Situación Económica,Asignaturas que No Otorgan Créditos,0
Becas por Vulnerabilidad por Situación Económica,¿Cuáles son asignaturas sin créditos?,0
Becas por Vulnerabilidad por Situación Económica,¿Deportes y Clubes otorgan créditos?,0
Becas por Vulnerabilidad por Situación Económica,Prácticas Preprofesionales,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo son prácticas preprofesionales?,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo aprobar prácticas preprofesionales?,0
Becas por Vulnerabilidad por Situación Económica,Inscripciones en Otras Unidades Académicas,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo inscribirme en asignaturas de otras unidades?,0
Becas por Vulnerabilidad por Situación Económica,Restricciones para inscripción en otras unidades,0
Becas por Vulnerabilidad por Situación Económica,Mallas Curriculares,0
Becas por Vulnerabilidad por Situación Económica,¿Dónde ver mallas curriculares de mi carrera?,0
Becas por Vulnerabilidad por Situación Económica,¿Cómo consultar mallas curriculares?,0
Becas por Vulnerabilidad por Situación Económica,Honestidad Académica y Código de Ética,0
Becas por Vulnerabilidad por Situación Económica,Reglamento de disciplina y sanciones,0
Becas por Vulnerabilidad por Situación Económica,¿Puedo solicitar clarificaciones sobre código de ética?,0
